Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,43.639999,43.840000,42.990002,43.439999,43.439999,8478100
2021-02-12,43.110001,44.470001,42.900002,43.939999,43.939999,8987500
2021-02-16,45.070000,45.810001,44.560001,45.709999,45.709999,13954900
2021-02-17,45.410000,46.480000,44.720001,46.080002,46.080002,12821500
2021-02-18,45.200001,45.439999,44.299999,44.959999,44.959999,10250400
2021-02-19,45.520000,48.360001,45.439999,48.029999,48.029999,21112000
2021-02-22,49.259998,51.820000,48.349998,49.700001,49.700001,27547900
2021-02-23,50.200001,51.180000,46.959999,50.610001,50.610001,20125000
2021-02-24,51.110001,55.869999,50.869999,54.959999,54.959999,27482100
2021-02-25,54.849998,55.000000,50.419998,51.779999,51.779999,25950000
2021-02-26,51.509998,53.410000,51.200001,52.680000,52.680000,18330200
2021-03-01,55.439999,55.930000,52.779999,53.310001,53.310001,19500600
2021-03-02,53.660000,54.049999,52.750000,53.209999,53.209999,12371000
2021-03-03,53.610001,55.200001,53.279999,54.570000,54.570000,18438900
2021-03-04,54.639999,54.849998,49.950001,52.049999,52.049999,19937500
2021-03-05,52.650002,52.730000,46.560001,50.520000,50.520000,21503200
2021-03-08,51.349998,54.330002,51.340000,54.060001,54.060001,17589000
2021-03-09,53.810001,54.160000,51.799999,53.430000,53.430000,15292800
2021-03-10,53.400002,54.369999,52.849998,53.919998,53.919998,13438900
2021-03-11,54.299999,55.869999,53.369999,54.060001,54.060001,17140800
2021-03-12,54.000000,56.439999,53.610001,56.290001,56.290001,19762500
2021-03-15,58.250000,61.689999,57.919998,60.939999,60.939999,35290100
2021-03-16,61.110001,61.200001,59.209999,59.810001,59.810001,18306400
2021-03-17,59.110001,62.560001,58.860001,62.450001,62.450001,18338000
2021-03-18,62.169998,63.700001,60.580002,60.820000,60.820000,19105700
2021-03-19,60.900002,60.950001,58.639999,60.770000,60.770000,19643800
2021-03-22,59.750000,60.200001,58.209999,58.330002,58.330002,12958300
2021-03-23,57.110001,58.080002,53.849998,54.360001,54.360001,21698200
2021-03-24,55.660000,56.959999,53.779999,53.830002,53.830002,18015800
2021-03-25,52.910000,56.290001,52.029999,56.049999,56.049999,21500100
2021-03-26,57.090000,57.369999,55.220001,56.830002,56.830002,15432400
2021-03-29,56.799999,57.310001,55.410000,56.200001,56.200001,12083000
2021-03-30,56.779999,58.500000,56.480000,58.209999,58.209999,12708900
2021-03-31,58.000000,58.009998,57.060001,57.540001,57.540001,11023800
2021-04-01,57.660000,58.549999,57.279999,57.820000,57.820000,10932200
2021-04-05,59.340000,60.889999,58.939999,59.290001,59.290001,17175700
2021-04-06,59.880001,60.419998,58.869999,59.480000,59.480000,11917200
2021-04-07,59.790001,61.340000,59.189999,59.570000,59.570000,13772600
2021-04-08,59.139999,59.470001,57.750000,59.430000,59.430000,13655800
2021-04-09,59.020000,59.360001,57.790001,58.430000,58.430000,10896100
2021-04-12,57.570000,57.709999,55.290001,56.160000,56.160000,18714700
2021-04-13,54.410000,56.860001,53.900002,56.660000,56.660000,15349400
2021-04-14,57.459999,58.520000,56.540001,56.919998,56.919998,12971100
2021-04-15,57.790001,57.849998,55.570000,56.119999,56.119999,12123400
2021-04-16,56.470001,57.150002,55.709999,55.869999,55.869999,10620400
2021-04-19,55.790001,55.970001,54.740002,54.990002,54.990002,13984400
2021-04-20,53.470001,53.790001,49.470001,50.299999,50.299999,44364800
2021-04-21,49.880001,51.889999,48.900002,51.860001,51.860001,21085600
2021-04-22,52.340000,53.090000,50.880001,51.029999,51.029999,20538200
2021-04-23,51.209999,53.349998,50.639999,53.110001,53.110001,13841100
2021-04-26,54.049999,54.470001,53.220001,53.779999,53.779999,12358800
2021-04-27,53.779999,54.119999,53.189999,53.480000,53.480000,10331500
2021-04-28,53.250000,54.040001,52.970001,53.549999,53.549999,11536000
2021-04-29,54.099998,54.320000,53.119999,53.689999,53.689999,9804800
2021-04-30,53.220001,54.910000,53.130001,54.400002,54.400002,11144000
2021-05-03,54.669998,54.869999,53.610001,54.459999,54.459999,9912900
2021-05-04,54.090000,54.470001,51.730000,52.799999,52.799999,13673200
2021-05-05,52.750000,53.959999,52.439999,53.270000,53.270000,11151300
2021-05-06,53.430000,53.770000,52.099998,53.049999,53.049999,10524400
2021-05-07,52.930000,54.959999,52.689999,54.730000,54.730000,11819900
2021-05-10,54.950001,55.610001,54.000000,54.029999,54.029999,10852900
2021-05-11,52.040001,53.169998,51.200001,52.700001,52.700001,15065900
2021-05-12,52.119999,53.080002,50.900002,51.009998,51.009998,12728700
2021-05-13,51.419998,52.730000,51.070000,52.430000,52.430000,13363900
2021-05-14,53.400002,55.509998,53.290001,55.279999,55.279999,14499200
2021-05-17,55.009998,56.730000,54.259998,56.570000,56.570000,17529900
2021-05-18,57.080002,57.750000,55.950001,56.380001,56.380001,13706200
2021-05-19,55.080002,56.270000,54.480000,55.790001,55.790001,15121600
2021-05-20,56.000000,56.000000,54.209999,55.090000,55.090000,11702500
2021-05-21,55.450001,55.970001,55.119999,55.299999,55.299999,10527400
2021-05-24,56.000000,56.340000,54.919998,56.139999,56.139999,9470700
2021-05-25,57.650002,59.290001,56.779999,56.980000,56.980000,23605700
2021-05-26,57.750000,58.430000,57.230000,58.009998,58.009998,11697300
2021-05-27,58.590000,59.230000,57.869999,59.130001,59.130001,12307500
2021-05-28,58.950001,59.200001,57.959999,58.349998,58.349998,14357300
2021-06-01,59.119999,60.410000,58.959999,59.669998,59.669998,14321100
2021-06-02,60.150002,60.590000,59.610001,60.290001,60.290001,12089200
2021-06-03,59.599998,59.599998,57.680000,57.730000,57.730000,13746500
2021-06-04,58.299999,58.400002,56.720001,56.930000,56.930000,13622800
2021-06-07,57.340000,57.970001,57.020000,57.299999,57.299999,8915000
2021-06-08,57.900002,58.119999,56.830002,57.730000,57.730000,10778000
2021-06-09,57.990002,58.009998,57.169998,57.230000,57.230000,8151500
2021-06-10,57.599998,58.070000,55.930000,56.259998,56.259998,11664000
2021-06-11,56.160000,56.830002,56.099998,56.520000,56.520000,9780500
2021-06-14,56.630001,57.000000,55.540001,55.740002,55.740002,8248500
2021-06-15,55.740002,56.020000,54.919998,55.290001,55.290001,7542000
2021-06-16,55.180000,56.099998,54.980000,55.599998,55.599998,9952000
2021-06-17,55.770000,56.410000,53.480000,54.240002,54.240002,12509900
2021-06-18,53.869999,55.380001,53.540001,54.919998,54.919998,12490700
2021-06-21,55.240002,55.880001,54.549999,55.689999,55.689999,10891600
2021-06-22,55.490002,55.570000,54.099998,55.169998,55.169998,9819700
2021-06-23,55.130001,55.490002,54.900002,55.119999,55.119999,9957500
2021-06-24,55.110001,55.389999,53.959999,54.340000,54.340000,11548600
2021-06-25,54.520000,54.570000,53.720001,53.880001,53.880001,12256400
2021-06-28,53.500000,53.509998,51.669998,52.490002,52.490002,19098800
2021-06-29,52.660000,53.080002,52.029999,52.150002,52.150002,12598300
2021-06-30,52.270000,52.959999,51.869999,52.290001,52.290001,9244500
2021-07-01,52.790001,53.759998,52.689999,53.080002,53.080002,8577600
2021-07-02,53.169998,53.169998,52.090000,52.770000,52.770000,9205500
2021-07-06,52.680000,53.209999,51.020000,51.439999,51.439999,10652300
2021-07-07,51.040001,51.869999,49.779999,50.299999,50.299999,12719100
2021-07-08,49.080002,50.520000,48.570000,49.660000,49.660000,13207800
2021-07-09,50.330002,51.320000,49.970001,51.099998,51.099998,9914700
2021-07-12,50.330002,51.020000,49.439999,50.619999,50.619999,11567200
2021-07-13,49.759998,50.040001,48.380001,48.500000,48.500000,14287200
2021-07-14,49.040001,49.959999,47.869999,48.160000,48.160000,14949300
2021-07-15,47.900002,48.630001,46.959999,47.709999,47.709999,12331800
2021-07-16,48.450001,48.480000,45.830002,46.009998,46.009998,13760700
2021-07-19,43.700001,44.650002,42.560001,43.459999,43.459999,26444000
2021-07-20,43.549999,46.459999,43.070000,46.320000,46.320000,21894000
2021-07-21,47.119999,48.939999,46.990002,48.099998,48.099998,23048300
2021-07-22,47.689999,48.700001,46.799999,47.950001,47.950001,12922300
2021-07-23,48.139999,48.480000,47.160000,47.529999,47.529999,9491300
2021-07-26,47.500000,49.529999,47.400002,49.459999,49.459999,10775300
2021-07-27,49.110001,49.570000,48.090000,48.650002,48.650002,10559900
2021-07-28,49.080002,49.509998,48.040001,49.139999,49.139999,9772500
2021-07-29,49.580002,49.599998,48.459999,48.490002,48.490002,7643600
2021-07-30,47.689999,48.230000,46.490002,46.720001,46.720001,12057700
2021-08-02,46.849998,48.230000,45.950001,46.070000,46.070000,10995900
2021-08-03,46.119999,46.570000,44.610001,46.540001,46.540001,12597000
2021-08-04,45.520000,46.650002,44.900002,45.279999,45.279999,12205000
2021-08-05,45.520000,47.669998,45.380001,47.240002,47.240002,12644600
2021-08-06,47.720001,48.130001,46.580002,47.619999,47.619999,9910400
2021-08-09,46.990002,47.000000,45.529999,46.450001,46.450001,13064800
2021-08-10,46.369999,48.240002,46.169998,47.680000,47.680000,12551700
2021-08-11,47.139999,48.410000,46.459999,48.209999,48.209999,12779300
2021-08-12,47.910000,48.009998,46.549999,47.240002,47.240002,9307300
2021-08-13,47.080002,47.380001,46.270000,46.490002,46.490002,7563100
2021-08-16,45.619999,46.549999,45.160000,46.299999,46.299999,8402500
2021-08-17,45.439999,45.799999,44.520000,45.290001,45.290001,9745500
2021-08-18,45.119999,45.990002,44.709999,45.040001,45.040001,9460700
2021-08-19,44.770000,44.900002,43.169998,43.930000,43.930000,12360700
2021-08-20,43.790001,44.320000,43.480000,44.029999,44.029999,9855900
2021-08-23,44.639999,45.630001,44.320000,45.529999,45.529999,8269200
2021-08-24,46.340000,47.560001,46.279999,47.119999,47.119999,10048000
2021-08-25,47.299999,47.939999,46.540001,47.590000,47.590000,9772300
2021-08-26,47.299999,48.020000,46.400002,47.009998,47.009998,8604000
2021-08-27,47.169998,48.220001,47.029999,47.709999,47.709999,6816100
2021-08-30,48.009998,48.009998,45.709999,45.910000,45.910000,11376100
2021-08-31,45.730000,46.830002,45.610001,46.509998,46.509998,8884200
2021-09-01,46.750000,46.930000,45.950001,46.189999,46.189999,8608000
2021-09-02,46.279999,47.490002,45.869999,46.759998,46.759998,9780100
2021-09-03,46.599998,47.360001,45.919998,46.220001,46.220001,7705300
2021-09-07,46.020000,46.779999,45.680000,46.570000,46.570000,7802500
2021-09-08,46.700001,47.189999,45.419998,45.529999,45.529999,9053400
2021-09-09,45.240002,47.740002,45.070000,46.580002,46.580002,12872300
2021-09-10,46.820000,46.820000,44.180000,44.340000,44.340000,17476100
2021-09-13,44.730000,45.180000,43.570000,44.840000,44.840000,14173600
2021-09-14,44.630001,44.930000,43.580002,43.869999,43.869999,10762800
2021-09-15,43.650002,43.910000,43.020000,43.860001,43.860001,10321600
2021-09-16,43.860001,45.410000,43.849998,44.470001,44.470001,12204300
2021-09-17,44.779999,45.500000,44.110001,44.540001,44.540001,11743900
2021-09-20,44.759998,45.340000,43.590000,45.270000,45.270000,14700300
2021-09-21,45.500000,46.259998,44.279999,44.450001,44.450001,12217700
2021-09-22,44.849998,46.290001,44.830002,45.680000,45.680000,13783000
2021-09-23,46.180000,47.830002,46.099998,47.470001,47.470001,13703500
2021-09-24,47.380001,48.950001,47.380001,48.790001,48.790001,12236400
2021-09-27,49.509998,50.560001,48.980000,49.080002,49.080002,14094300
2021-09-28,49.020000,49.669998,48.349998,48.680000,48.680000,9820600
2021-09-29,48.880001,49.410000,47.779999,48.709999,48.709999,9791600
2021-09-30,48.380001,48.400002,47.180000,47.570000,47.570000,12016500
2021-10-01,48.900002,51.480000,48.880001,51.340000,51.340000,21464900
2021-10-04,51.759998,52.430000,50.980000,51.299999,51.299999,13986700
2021-10-05,51.360001,51.860001,50.369999,50.880001,50.880001,9828100
2021-10-06,49.849998,50.279999,49.060001,50.220001,50.220001,9995900
